pId		A T		B T		C T		TAT		W T		R T		IObound
1		38		20		392		334		314		334		0
2		37		6		372		329		323		329		1
3		35		1		350		314		313		314		0
4		3		1		8		4		3		4		0
5		31		13		288		244		231		244		1
6		35		23		349		291		268		291		0
7		26		17		250		207		190		207		1
8		7		24		69		38		14		38		1
9		25		4		233		204		200		204		0
10		40		16		408		352		336		352		1
11		37		12		366		317		305		317		1
12		17		9		140		114		105		114		0
13		23		13		194		158		145		158		1
14		12		12		94		70		58		70		0
15		16		5		119		98		93		98		0
16		29		6		256		221		215		221		0
17		49		5		459		405		400		405		0
18		31		15		303		257		242		257		0
19		36		4		354		314		310		314		0
20		2		5		7		5		0		0		1
21		48		23		454		383		360		383		1
22		33		4		307		270		266		270		0
23		42		23		431		366		343		366		1
24		4		24		45		24		0		17		0
25		19		5		171		147		142		147		1
26		4		13		21		13		0		4		1
27		33		19		326		274		255		274		0
28		24		9		226		193		184		193		1
29		15		20		114		79		59		79		0
30		17		12		131		102		90		102		1
31		19		3		143		121		118		121		0
32		23		23		217		171		148		171		0
33		11		13		82		58		45		58		1
34		19		23		166		124		101		124		0
35		20		10		181		151		141		151		0
36		24		3		229		202		199		202		0
37		31		9		275		235		226		235		0
38		30		10		266		226		216		226		1
